End station #,LATITUDE,LONGITUDE
31634,38.87501,-77.0024
31215,38.902221,-77.059219
31270,38.894851,-77.02324
31623,38.89696,-77.00493
31624,38.897446,-77.009888
31503,38.9126,-77.0135
31314,38.903663,-77.067668
31281,38.90864,-77.02277
31088,38.833077,-77.059821
31113,38.920669,-77.04368
31255,38.9066,-77.05152
31505,38.910972,-77.00495
31511,38.928644,-76.990955
31228,38.8997,-77.023086
31063,38.852248,-77.105022
31202,38.912939,-77.032085
31241,38.9059,-77.0325
31260,38.896104,-77.049882
31283,38.903658,-77.031737
31104,38.922925,-77.042581
31224,38.903407,-77.043648
31513,38.918155,-77.004746
31639,38.89967,-77.003666
31250,38.903584,-77.044789
31603,38.9057,-77.0056
31119,38.921074,-77.031887
31612,38.894758,-76.997114
31610,38.886952,-76.996806
31275,38.901755,-77.051084
31102,38.929464,-77.027822
31276,38.90366,-77.034846
31229,38.91554,-77.03818
31200,38.9101,-77.0444
31636,38.90706,-77.015231
31103,38.926088,-77.036536
31400,38.936043,-77.024649
31280,38.913761,-77.027025
31625,38.881185,-77.001828
31613,38.884,-76.995397
31017,38.891696,-77.0846
31005,38.862303,-77.059936
31641,38.894972,-77.003135
31230,38.898364,-77.027869
31302,38.934881,-77.072755
31238,38.898385,-77.031666
31631,38.897274,-76.994749
31123,38.925284,-77.032375
31223,38.905737,-77.02227
31514,38.927497,-76.997194
32026,38.977933,-77.006472
31245,38.912719,-77.022155
31239,38.905996,-77.039802
31248,38.888767,-77.02858
31249,38.879819,-77.037413
31234,38.908905,-77.04478
31267,38.908142,-77.038359
31246,38.905126,-77.056887
31618,38.889955,-77.000349
31222,38.899032,-77.033354
31121,38.923583,-77.050046
31105,38.9268,-77.0322
31627,38.90547,-77.00213
31628,38.878854,-77.005727
31042,38.804718,-77.043363
31256,38.895914,-77.026064
31305,38.934267,-77.057979
31258,38.888251,-77.049426
31252,38.901539,-77.046564
31227,38.900283,-77.029822
31512,38.903732,-76.987211
31101,38.9176,-77.0321
31620,38.897222,-77.019347
32034,38.992679,-77.029457
31274,38.898243,-77.026235
31047,38.814577,-77.052808
31237,38.903827,-77.053485
31206,38.8952,-77.0436
31032,38.880834,-77.091129
31235,38.8923,-77.0436
31213,38.90276,-77.03863
31600,38.90304,-77.019027
31243,38.886372,-77.017701
31264,38.894573,-77.01994
31116,38.917761,-77.04062
31632,38.897195,-76.983575
31257,38.90088,-77.048911
31616,38.900412,-77.001949
31109,38.9155,-77.0222
31288,38.890493,-77.017253
31112,38.927872,-77.043358
31014,38.897315,-77.070993
31233,38.902061,-77.038322
31208,38.8763,-77.0037
31605,38.8851,-77.0023
31225,38.90375,-77.06269
31209,38.8743,-77.0057
31614,38.899983,-76.991383
31402,38.947774,-77.032818
31290,38.888097,-77.038325
31289,38.890544,-77.049379
31205,38.9008,-77.047
31404,38.9418,-77.0251
31285,38.909394,-77.048728
31271,38.892275,-77.013917
31219,38.893028,-77.026013
31268,38.916787,-77.028139
31629,38.889988,-76.995193
32010,38.98128,-77.011336
31502,38.9346,-76.9955
31643,38.884916,-77.005965
31242,38.89968,-77.041539
31621,38.895344,-77.016106
31236,38.90774,-77.071652
31291,38.901136,-77.034451
31217,38.886277,-77.028242
31211,38.897293,-77.05557
31110,38.9154,-77.0446
31602,38.9308,-77.0315
31218,38.886266,-77.022241
31204,38.8963,-77.045
31024,38.882788,-77.103148
31115,38.928121,-77.023795
31916,38.829545,-77.047844
31011,38.8533,-77.0498
31262,38.897857,-77.026975
31107,38.9319,-77.0388
31519,38.908643,-77.012365
31083,38.82175,-77.047494
31403,38.956556,-77.019814
31615,38.899972,-76.998347
31068,38.856319,-77.11153
31251,38.903819,-77.0284
31002,38.856425,-77.049232
31611,38.900022,-76.988422
31263,38.9024,-77.02622
31500,38.919077,-77.000648
31638,38.900358,-77.012108
31203,38.9086,-77.0323
31401,38.9375,-77.0328
31619,38.890461,-76.988355
31310,38.955016,-77.069956
31408,38.975219,-77.016855
31232,38.897332,-77.022292
31021,38.8881,-77.09308
31265,38.90093,-77.018677
31231,38.894514,-77.031617
31007,38.857405,-77.051132
31240,38.88412,-77.04657
31037,38.881044,-77.111768
31259,38.894722,-77.045128
31247,38.888553,-77.032429
31091,38.859254,-77.063275
31269,38.887378,-77.001955
31282,38.912652,-77.036278
32053,38.999378,-77.097882
31212,38.90534,-77.046774
31015,38.8946,-77.072305
31124,38.928552,-77.032224
31312,38.90849,-77.063586
31601,38.8896,-76.9769
31097,38.812718,-77.044097
31216,38.899632,-77.031686
31244,38.88412,-77.017445
31918,38.812351,-77.040691
31120,38.920387,-77.025672
31509,38.912659,-77.017669
31272,38.886978,-77.013769
31308,38.943837,-77.077078
31284,38.893511,-77.041544
31022,38.88786,-77.094875
31078,38.869442,-77.104503
31039,38.880012,-77.107854
31253,38.902204,-77.04337
31080,38.897612,-77.080851
31293,38.902814,-77.061043
31221,38.905067,-77.041779
31277,38.89841,-77.039624
32003,38.983838,-77.09221
31261,38.892459,-77.046567
31201,38.90985,-77.034438
31074,38.869418,-77.095596
31023,38.885801,-77.097745
31006,38.8637,-77.0633
31712,38.894474,-76.974828
31287,38.884323,-77.02601
31125,38.919086,-77.034502
31626,38.88732,-76.983569
31642,38.903598,-77.01397
31319,38.949813,-77.080217
32038,39.110314,-77.182669
